w_log[0], w_log[1], theta_log, p_log
-0.336725, -0.174514, -0.886961, 50
-0.330627, -0.222488, -0.836961, 50
-0.352552, -0.259557, -0.786961, 50
-0.383187, -0.309503, -0.736961, 50
-0.381945, -0.331435, -0.686961, 48
-0.408611, -0.391088, -0.636961, 46
-0.434903, -0.424214, -0.586961, 47
-0.369197, -0.405296, -0.636961, 50
-0.394542, -0.437428, -0.586961, 50
-0.319451, -0.420229, -0.636961, 54
-0.312228, -0.465798, -0.586961, 61
-0.322664, -0.512465, -0.536961, 62
-0.335235, -0.533175, -0.486961, 62
-0.268919, -0.511278, -0.536961, 68
-0.281854, -0.535233, -0.486961, 69
-0.224481, -0.513669, -0.536961, 71
-0.152904, -0.492548, -0.586961, 68
-0.174908, -0.536193, -0.536961, 75
-0.144177, -0.581431, -0.486961, 84
-0.118487, -0.616289, -0.436961, 87
-0.113413, -0.638682, -0.386961, 86
-0.0713474, -0.608842, -0.436961, 89
-0.0564783, -0.632994, -0.386961, 92
-0.066753, -0.659807, -0.336961, 87
-0.0339133, -0.632257, -0.386961, 92
-0.0208709, -0.656751, -0.336961, 92
-0.0107802, -0.679594, -0.286961, 91
0.0373877, -0.654278, -0.336961, 95
0.0248894, -0.678758, -0.286961, 95
0.0640825, -0.654685, -0.336961, 96
0.0653244, -0.676618, -0.286961, 98
0.0527537, -0.697328, -0.236961, 94
0.110127, -0.675764, -0.286961, 98
0.152194, -0.645923, -0.336961, 96
0.141919, -0.672736, -0.286961, 99
0.129348, -0.693446, -0.236961, 97
0.166946, -0.668422, -0.286961, 98
0.154448, -0.692902, -0.236961, 99
0.196514, -0.663062, -0.286961, 98
0.184016, -0.687542, -0.236961, 99
0.226082, -0.657701, -0.286961, 98
0.213584, -0.682181, -0.236961, 99
0.201013, -0.702891, -0.186961, 97
0.238611, -0.677868, -0.236961, 99
0.22604, -0.698578, -0.186961, 98
0.268106, -0.668737, -0.236961, 99
0.255536, -0.689447, -0.186961, 99
0.297602, -0.659607, -0.236961, 99
0.285031, -0.680317, -0.186961, 99
0.317871, -0.652767, -0.236961, 99
0.3053, -0.673477, -0.186961, 100
